Address,Parcel ID
1 A ST,24-391-15B
 ABRUZZI ST,18-324H&I-4
11 ABRUZZI ST,18-324F-4
15 ABRUZZI ST,18-324F-5
19 ABRUZZI ST,18-324F-6
29 ABRUZZI ST,18-324F-7
30 ABRUZZI ST,18-324H&I-6
37 ABRUZZI ST,18-324F-8
42 ABRUZZI ST,18-324H&I-5
43 ABRUZZI ST,18-324F-9
51 ABRUZZI ST,18-324F-11A
52 ABRUZZI ST,18-324H&I-3
64 ABRUZZI ST,18-324J-4
65 ABRUZZI ST,18-324G-5
68 ABRUZZI ST,18-324J-2A
69 ABRUZZI ST,18-324G-6
73 ABRUZZI ST,18-324G-7A
75 ABRUZZI ST,18-324G-1A-1
107 ADAMS ST,24-420B-5
11 ADAMS ST,24-392A-6A
114 ADAMS ST,25-421B-6
134 ADAMS ST,25-421C-5
21 ADAMS ST,24-392A-7
43 ADAMS ST,24-404-6
47 ADAMS ST,24-404-5
51 ADAMS ST,24-404-4
54 ADAMS ST,25-403-17
57 ADAMS ST,24-404-3
58 ADAMS ST,25-403-18
59 ADAMS ST,24-404-2
62 ADAMS ST,25-403-19
65 ADAMS ST,24-404-1
66 ADAMS ST,25-403-20
86 ADAMS ST,25-421A-1
93 ADAMS ST,24-420C-9
 AGATHA ST,34-466A-8
13 AGATHA ST,34-466A-10
16 AGATHA ST,34-466C-3
17 AGATHA ST,34-466A-11
21 AGATHA ST,34-466A-12
27 AGATHA ST,34-466A-13
29 AGATHA ST,34-466A-14
9 AGATHA ST,34-466A-9
 AGAWAM ST,10-172-11
1 AGAWAM ST,10-172-14
11 AGAWAM ST,10-172-10
34 AGAWAM ST,10-181-26
37 AGAWAM ST,10-182-4
39 AGAWAM ST,10-182-5
42 AGAWAM ST,10-181-24
47 AGAWAM ST,10-182-7B-1
5 AGAWAM ST,10-172-13
50 AGAWAM ST,10-181-23
51 AGAWAM ST,10-182-10B-1
52 AGAWAM ST,10-181-22
53 AGAWAM ST,10-182-11
54 AGAWAM ST,10-181-20A
56 AGAWAM ST,10-181-19A
57 AGAWAM ST,10-182-12
58 AGAWAM ST,10-181-18A
59 AGAWAM ST,10-182-13
6 AGAWAM ST,10-173-1
62 AGAWAM ST,10-181-17
7 AGAWAM ST,10-172-12
 AGNEOUS AVE,2-71-1
5 AGNEOUS AVE,2-71-3A
12 ALDEN AVE,14-192H-14
15 ALDEN AVE,14-192J-22
16 ALDEN AVE,14-192H-13
21 ALDEN AVE,14-192J-23
22 ALDEN AVE,14-192H-12
25 ALDEN AVE,14-192J-24
26 ALDEN AVE,14-192H-11
29 ALDEN AVE,14-192J-25
32 ALDEN AVE,14-192H-10
33 ALDEN AVE,14-192J-26
36 ALDEN AVE,14-192H-9
37 ALDEN AVE,14-192J-27
41 ALDEN AVE,14-192J-28
44 ALDEN AVE,14-192H-8
45 ALDEN AVE,14-192J-29
49 ALDEN AVE,14-192J-30
5 ALDEN AVE,14-192J-21
50 ALDEN AVE,14-192H-7
52 ALDEN AVE,14-192H-6
55 ALDEN AVE,14-192J-31
57 ALDEN AVE,14-192J-32
58 ALDEN AVE,14-192H-5
60 ALDEN AVE,14-192H-4
61 ALDEN AVE,14-192J-33
65 ALDEN AVE,14-192J-34
69 ALDEN AVE,14-192J-35
73 ALDEN AVE,14-192J-36
74 ALDEN AVE,14-192H-3
76 ALDEN AVE,14-192H-2
8 ALDEN AVE,14-192H-15
 ALICE ST,11-190E-11
11 ALICE ST,11-190E-3
12 ALICE ST,11-190F-27
14 ALICE ST,11-190F-26
15 ALICE ST,11-190E-5
18 ALICE ST,11-190F-25
19 ALICE ST,11-190E-6
20 ALICE ST,11-190F-24
22 ALICE ST,11-190F-23
25 ALICE ST,11-190E-8
27 ALICE ST,11-190E-9A
28 ALICE ST,11-190F-22
3 ALICE ST,11-190E-2A
32 ALICE ST,11-190F-21
35 ALICE ST,11-190E-12
36 ALICE ST,11-190F-20
37 ALICE ST,11-190E-13
6 ALICE ST,11-190F-28
14 ALLSTON ST,24-388-28
16 ALLSTON ST,24-388-27
22 ALLSTON ST,24-388-26
24 ALLSTON ST,24-388-25
28 ALLSTON ST,24-388-24
32 ALLSTON ST,24-388-23
36 ALLSTON ST,24-388-22
40 ALLSTON ST,24-388-21
44 ALLSTON ST,24-388-20
48 ALLSTON ST,24-388-19
52 ALLSTON ST,24-388-18
56 ALLSTON ST,24-388-17
57 ALLSTON ST,24-390-13
60 ALLSTON ST,24-388-16
15 AMASA ST,23-396-29
49 AMASA ST,23-399-2A
10 AMBROSE ST,17-276-8
11 AMBROSE ST,17-273-13
15 AMBROSE ST,17-273-14
22 AMBROSE ST,17-276-7
23 AMBROSE ST,17-273-15
25 AMBROSE ST,17-273-16
26 AMBROSE ST,17-276-6
3 AMBROSE ST,17-273-11
30 AMBROSE ST,17-276-5
33 AMBROSE ST,17-273-17
36 AMBROSE ST,17-276-4A-1
39 AMBROSE ST,17-273-18
43 AMBROSE ST,17-273-19
44 AMBROSE ST,17-276-3
47 AMBROSE ST,17-273-20
50 AMBROSE ST,17-276-2
51 AMBROSE ST,17-273-21
56 AMBROSE ST,17-276-1
57 AMBROSE ST,17-273-22
61 AMBROSE ST,17-273-23
67 AMBROSE ST,17-273-24
70 AMBROSE ST,17-275-5
71 AMBROSE ST,17-273-25
76 AMBROSE ST,17-275-4
82 AMBROSE ST,17-275-3
88 AMBROSE ST,17-275-2
9 AMBROSE ST,17-273-12
92 AMBROSE ST,17-275-1
 AMELIA PL,26-431A-2
14 AMELIA PL,26-431-2
19 AMELIA PL,26-431A-3
22 AMELIA PL,26-431-3
25 AMELIA PL,26-431A-4
30 AMELIA PL,26-431-4
35 AMELIA PL,26-431A-5
38 AMELIA PL,26-431-5
46 AMELIA PL,26-431-6
54 AMELIA PL,26-431-7
6 AMELIA PL,26-431-1
66 AMELIA PL,26-431-8
70 AMELIA PL,26-431-9
73 AMELIA PL,26-431B-5
80 AMELIA PL,26-431-10
 AMERICAN LEGION HWY,16-244A-3
135 AMERICAN LEGION HWY,17-297-1B
140 AMERICAN LEGION HWY,17-274-3A
195 AMERICAN LEGION HWY,17-297-2
231 AMERICAN LEGION HWY,17-283-12
236 AMERICAN LEGION HWY,17-282-13
237 AMERICAN LEGION HWY,17-283-11
240 AMERICAN LEGION HWY,17-282-11A
249 AMERICAN LEGION HWY,17-283-8
250 AMERICAN LEGION HWY,17-282-10
256 AMERICAN LEGION HWY,17-282-9
25A AMERICAN LEGION HWY,16-244-1A
265 AMERICAN LEGION HWY,17-283-1
290 AMERICAN LEGION HWY,17-281-35
298 AMERICAN LEGION HWY,17-281-33
304 AMERICAN LEGION HWY,17-281-32
310 AMERICAN LEGION HWY,17-281-30
320 AMERICAN LEGION HWY,17-281-27
324 AMERICAN LEGION HWY,17-281-26
330 AMERICAN LEGION HWY,17-281-25
334 AMERICAN LEGION HWY,18-281-24
340 AMERICAN LEGION HWY,18-281-23
370 AMERICAN LEGION HWY,18-325D-4
385 AMERICAN LEGION HWY,18-325D1-2
400 AMERICAN LEGION HWY,18-324H1-1
405 AMERICAN LEGION HWY,18-324H&I-2
415 AMERICAN LEGION HWY,18-324K-1
425 AMERICAN LEGION HWY,18-324K-2
437 AMERICAN LEGION HWY,18-324K-4
450 AMERICAN LEGION HWY,18-325-6A
453 AMERICAN LEGION HWY,18-324K-8
462 AMERICAN LEGION HWY,18-325-5
466 AMERICAN LEGION HWY,18-325-4
476 AMERICAN LEGION HWY,18-325-2
55 AMERICAN LEGION HWY,16-244-4B
79 AMERICAN LEGION HWY,16-245A-1
80 AMERICAN LEGION HWY,16-245-13A
85 AMERICAN LEGION HWY,17-243-9C
90 AMERICAN LEGION HWY,16-245-14A
 ANN RD,28-429C-24
16 ANN RD,28-429C-23
17 ANN RD,28-429D-2
24 ANN RD,28-429C-22
27 ANN RD,28-429D-3
32 ANN RD,28-429C-21
35 ANN RD,28-429D-4
42 ANN RD,28-429C-20
45 ANN RD,28-429D-5B-1
50 ANN RD,28-429C-19A
 ARCADIA ST,10-188B2-12
100 ARCADIA ST,10-188B3-5
102 ARCADIA ST,10-188B3-6A
104 ARCADIA ST,10-188B3-1A
14 ARCADIA ST,11-188B3-53A
15 ARCADIA ST,11-188H-6
20 ARCADIA ST,11-188B3-48A
22 ARCADIA ST,11-188B3-47
26 ARCADIA ST,11-188B3-46
30 ARCADIA ST,10-188B3-44
31 ARCADIA ST,10-188G-2
32 ARCADIA ST,10-188B3-43
35 ARCADIA ST,10-188G-3
38 ARCADIA ST,10-188B3-41
39 ARCADIA ST,10-188G-4
40 ARCADIA ST,10-188B3-38B-1
42 ARCADIA ST,10-188B3-38B-2
45 ARCADIA ST,10-188G-5
46 ARCADIA ST,10-188B3-36B-1
47 ARCADIA ST,10-188G-6
48 ARCADIA ST,10-188B3-34A
5 ARCADIA ST,11-188H-2
51 ARCADIA ST,10-188G-7
54 ARCADIA ST,10-188B3-32A-1
55 ARCADIA ST,10-188G-8
56 ARCADIA ST,10-188B3-32A-2
58A ARCADIA ST,10-188B3-30A-1
58B ARCADIA ST,10-188B3-30A-2
59 ARCADIA ST,10-188G-9A-0000
66A ARCADIA ST,10-188B3-26A-66A
66B ARCADIA ST,10-188B3-26A-66B
68 ARCADIA ST,10-188B3-24
7 ARCADIA ST,11-188H-3
71 ARCADIA ST,10-188G-12
74 ARCADIA ST,10-188B3-21
77 ARCADIA ST,10-188B2-7
81 ARCADIA ST,10-188B2-8
84 ARCADIA ST,10-188B3-16A
87 ARCADIA ST,10-188B2-9A
89 ARCADIA ST,10-188B2-11
9 ARCADIA ST,11-188H-5A-A
90 ARCADIA ST,10-188B3-12A
94 ARCADIA ST,10-188B3-10A
96 ARCADIA ST,10-188B3-7A
97 ARCADIA ST,10-188B2-13
99 ARCADIA ST,10-188B2-14
10 ARCHER AVE,13-192T1-7
11 ARCHER AVE,13-192T2-4
14 ARCHER AVE,13-192T1-5
17 ARCHER AVE,13-192T2-5
 ARGYLE ST,10-188A3-1
12 ARGYLE ST,10-188G-26B
12R ARGYLE ST,10-188G-25A
14 ARGYLE ST,10-188G-26A
15 ARGYLE ST,11-188H-8B
15R ARGYLE ST,11-188H-8C
16 ARGYLE ST,10-188G-24
17 ARGYLE ST,11-188H-10A
19 ARGYLE ST,11-188H-12A
23 ARGYLE ST,11-188H-14A
27 ARGYLE ST,11-188H-17
5 ARGYLE ST,11-188H-7
14 ARLINGTON AVE,7-110-25
22 ARLINGTON AVE,7-110-24
25 ARLINGTON AVE,7-111-3A
26 ARLINGTON AVE,7-110-23
28 ARLINGTON AVE,7-110-22
31 ARLINGTON AVE,7-111-4
32 ARLINGTON AVE,7-110-21
38 ARLINGTON AVE,7-110-20
39 ARLINGTON AVE,7-111-5
42 ARLINGTON AVE,7-110-19
45 ARLINGTON AVE,7-111-6
46 ARLINGTON AVE,7-110-18
52 ARLINGTON AVE,7-110-17
55 ARLINGTON AVE,7-111-7A
58 ARLINGTON AVE,7-110-16
68 ARLINGTON AVE,7-109-1
69 ARLINGTON AVE,7-112-12A
72 ARLINGTON AVE,7-109-2
75 ARLINGTON AVE,7-112-11
76 ARLINGTON AVE,7-109-3
77 ARLINGTON AVE,7-112-10
8 ARLINGTON AVE,7-110-26
82 ARLINGTON AVE,7-109-4
85 ARLINGTON AVE,7-112-9
88 ARLINGTON AVE,7-109-5
89 ARLINGTON AVE,7-112-8
90 ARLINGTON AVE,7-109-6A-1
95 ARLINGTON AVE,7-112-7
 ARNOLD ST,22-367-12
101 ARNOLD ST,23-369-25
109 ARNOLD ST,23-369-26
111 ARNOLD ST,23-369-27
115 ARNOLD ST,23-369-28
119 ARNOLD ST,23-369-29
12 ARNOLD ST,22-366-45
120 ARNOLD ST,23-368-9
123 ARNOLD ST,23-369-30
128 ARNOLD ST,23-368-8
137 ARNOLD ST,23-369-31
138 ARNOLD ST,23-368-7
139 ARNOLD ST,23-369-1
14 ARNOLD ST,22-366-44
145 ARNOLD ST,23-371-1
149 ARNOLD ST,23-371-2
150 ARNOLD ST,23-370-22
152 ARNOLD ST,23-370-21
153 ARNOLD ST,23-371-3
154 ARNOLD ST,23-370-20
157 ARNOLD ST,23-371-4
161 ARNOLD ST,23-371-5
162 ARNOLD ST,23-370-19
166 ARNOLD ST,23-370-17
169 ARNOLD ST,23-371-6
173 ARNOLD ST,23-371-7
174 ARNOLD ST,23-370-15
175 ARNOLD ST,23-371-8
176 ARNOLD ST,23-370-14
177 ARNOLD ST,23-371-9
18 ARNOLD ST,22-366-43
180 ARNOLD ST,23-370-13
181 ARNOLD ST,23-371-10
182 ARNOLD ST,23-370-12
187 ARNOLD ST,23-371-11
188 ARNOLD ST,23-370-11
193 ARNOLD ST,23-371-12
195 ARNOLD ST,23-371-13
201 ARNOLD ST,23-371-14
21 ARNOLD ST,22-367-3
225 ARNOLD ST,23-371A-2
229 ARNOLD ST,23-371A-3
23 ARNOLD ST,22-367-4
25 ARNOLD ST,22-367-5
26 ARNOLD ST,22-366-42
27 ARNOLD ST,22-367-6
28 ARNOLD ST,22-366-41
29 ARNOLD ST,22-367-7
30 ARNOLD ST,22-366-40
33 ARNOLD ST,22-367-8
34 ARNOLD ST,22-366-39
38 ARNOLD ST,22-366-38
42 ARNOLD ST,22-366-37
46 ARNOLD ST,22-366-36
49 ARNOLD ST,22-367-10
50 ARNOLD ST,22-366-35
55 ARNOLD ST,22-367-11
56 ARNOLD ST,22-366-34
62 ARNOLD ST,22-366-33
66 ARNOLD ST,22-366-32
70 ARNOLD ST,23-366-31
76 ARNOLD ST,23-366-30
84 ARNOLD ST,23-366-29
9 ARNOLD ST,22-367-2
93 ARNOLD ST,23-369-23
99 ARNOLD ST,23-369-24
 ASTI AVE,26-430F-3
102 ASTI AVE,26-430E-5
106 ASTI AVE,26-430E-4
110 ASTI AVE,26-430E-2A
116 ASTI AVE,26-430E-1
144 ASTI AVE,26-430B-1-144
146 ASTI AVE,26-430B-1-146
15 ASTI AVE,29-430J-3
16 ASTI AVE,29-430K-11
24 ASTI AVE,29-430K-10
30 ASTI AVE,29-430K-9
34 ASTI AVE,29-430K-7
36 ASTI AVE,29-430K-6
42 ASTI AVE,29-430K-4A
46 ASTI AVE,29-430K-3
50 ASTI AVE,29-430K-1A
62 ASTI AVE,29-430E-14
65 ASTI AVE,26-430A1-2D-1
68 ASTI AVE,26-430E-12
72 ASTI AVE,26-430E-11
76 ASTI AVE,26-430E-10
80 ASTI AVE,26-430E-9
86 ASTI AVE,26-430E-8
92 ASTI AVE,26-430E-7
96 ASTI AVE,26-430E-6
 ATLANTIC AVE,2-47-22
1 ATLANTIC AVE,3-41-6
100 ATLANTIC AVE,2-49-16
101 ATLANTIC AVE,2-50-5
104 ATLANTIC AVE,2-49-15
111 ATLANTIC AVE,2-51-8A-0000
114 ATLANTIC AVE,2-49-13
118 ATLANTIC AVE,2-49-12
119 ATLANTIC AVE,2-51-9A-0000
124 ATLANTIC AVE,2-49-11
125 ATLANTIC AVE,2-51-10
127 ATLANTIC AVE,2-51-11-0000
128 ATLANTIC AVE,2-49-9
131 ATLANTIC AVE,2-51-12
135 ATLANTIC AVE,2-51-2
136 ATLANTIC AVE,2-49-6
144 ATLANTIC AVE,2-49-3
146 ATLANTIC AVE,2-49-2
15 ATLANTIC AVE,3-41-9
35 ATLANTIC AVE,3-42-66B
39 ATLANTIC AVE,3-42-67
7 ATLANTIC AVE,3-41-7
80 ATLANTIC AVE,3-49-22
83 ATLANTIC AVE,2-50-1A-0000
89 ATLANTIC AVE,2-50-2
9 ATLANTIC AVE,3-41-8
94 ATLANTIC AVE,2-49-19
97 ATLANTIC AVE,2-50-3A
98 ATLANTIC AVE,2-49-17
 ATWOOD ST,18-299-13
100 ATWOOD ST,18-300-6A-10
102 ATWOOD ST,18-300-6A-11
104 ATWOOD ST,18-300-6A-12
106 ATWOOD ST,18-300-6A-13
11 ATWOOD ST,18-299-7A
20 ATWOOD ST,18-300-19
26 ATWOOD ST,18-300-18
30 ATWOOD ST,18-300-17
37 ATWOOD ST,18-299-17
40 ATWOOD ST,18-300-16
43 ATWOOD ST,18-299-18
44 ATWOOD ST,18-299-15
5 ATWOOD ST,18-299-6
53 ATWOOD ST,18-299-21
56 ATWOOD ST,18-300-12
57 ATWOOD ST,18-299-23A
60 ATWOOD ST,18-300-10A
63 ATWOOD ST,18-299-25
69 ATWOOD ST,18-299-26-14
71 ATWOOD ST,18-299-26-15
75 ATWOOD ST,18-299-27-16
77 ATWOOD ST,18-299-27-17
8 ATWOOD ST,18-293-1
81 ATWOOD ST,18-299-28
8282-106 ATWOOD ST,18-300-6A-0000
82 ATWOOD ST,18-300-6A-1
84 ATWOOD ST,18-300-6A-2
86 ATWOOD ST,18-300-6A-3
87 ATWOOD ST,18-299-29-18
88 ATWOOD ST,18-300-6A-4
89 ATWOOD ST,18-299-29-19
90 ATWOOD ST,18-300-6A-5
92 ATWOOD ST,18-300-6A-6
93 ATWOOD ST,18-299-30-20
94 ATWOOD ST,18-300-6A-7
95 ATWOOD ST,18-299-30-21
96 ATWOOD ST,18-300-6A-8
98 ATWOOD ST,18-300-6A-9
99-101 ATWOOD ST,18-299-31A
 AUCELLA CT,16-259-22
18 AUCELLA CT,16-259-21
8-10 AUCELLA CT,16-259-20
 AUGUSTUS ST,28-438L-1A
101 AUGUSTUS ST,28-438M-4
105 AUGUSTUS ST,28-438M-5
110 AUGUSTUS ST,28-438O-20
112 AUGUSTUS ST,28-438O-19
113 AUGUSTUS ST,28-438M-6
114 AUGUSTUS ST,28-438O-18
115 AUGUSTUS ST,28-438M-7
122 AUGUSTUS ST,28-438O-17
123 AUGUSTUS ST,28-438M-8
126 AUGUSTUS ST,28-438O-16
127 AUGUSTUS ST,28-438M-9A
134 AUGUSTUS ST,28-438O-15
142 AUGUSTUS ST,28-438O-14
16 AUGUSTUS ST,28-438N-24
19 AUGUSTUS ST,28-438L-2A-1
20 AUGUSTUS ST,28-438N-23
27 AUGUSTUS ST,28-438L-3
30 AUGUSTUS ST,28-438N-22
35 AUGUSTUS ST,28-438L-4
40 AUGUSTUS ST,28-438N-21
43 AUGUSTUS ST,28-438L-5
48 AUGUSTUS ST,28-438N-20
51 AUGUSTUS ST,28-438L-6
52 AUGUSTUS ST,28-438N-19
57 AUGUSTUS ST,28-438L-7
58 AUGUSTUS ST,28-438N-18
63 AUGUSTUS ST,28-438L-8
66 AUGUSTUS ST,28-438N-17
67 AUGUSTUS ST,28-438L-9
73 AUGUSTUS ST,28-438L-10
82 AUGUSTUS ST,28-438O-23
88 AUGUSTUS ST,28-438O-22
89 AUGUSTUS ST,28-438M-2
95 AUGUSTUS ST,28-438M-3
96 AUGUSTUS ST,28-438O-21
14 AURELIA SYLVIA DR,29-430-2-1
24 AURELIA SYLVIA DR,29-430-3-1
32 AURELIA SYLVIA DR,29-430-4
42 AURELIA SYLVIA DR,29-430-5A
47 AURELIA SYLVIA DR,29-430-25
48 AURELIA SYLVIA DR,29-430-6
56 AURELIA SYLVIA DR,29-430-7
57 AURELIA SYLVIA DR,29-430-26
62 AURELIA SYLVIA DR,29-430-8
65 AURELIA SYLVIA DR,29-430-27
68 AURELIA SYLVIA DR,29-430-9
73 AURELIA SYLVIA DR,29-430-28
76 AURELIA SYLVIA DR,29-430-10
81A AURELIA SYLVIA DR,29-430-29
84 AURELIA SYLVIA DR,29-430-11
90 AURELIA SYLVIA DR,29-430-12
 AVALON ST,4-92-7B
1 AVALON ST,8-92A-9
10 AVALON ST,8-92-34
11 AVALON ST,8-92A-12
14 AVALON ST,8-92-32
15 AVALON ST,8-92A-13A
18 AVALON ST,8-92-31
2 AVALON ST,8-92-35
26 AVALON ST,8-92-29
33 AVALON ST,8-92-19
36 AVALON ST,8-92-27
37 AVALON ST,8-92-20
40 AVALON ST,8-92-26
41 AVALON ST,8-92-21
44 AVALON ST,8-92-25
48 AVALON ST,8-92-24
5 AVALON ST,8-92A-10
50 AVALON ST,8-92-23
9 AVALON ST,8-92A-11
15 AVON ST,10-186B-7
17 AVON ST,10-186B-5A
19 AVON ST,10-186B-8
23 AVON ST,10-186B-9
27 AVON ST,10-186B-10
29 AVON ST,10-186B-11
8 AVON ST,10-186A-8
